formulation,axis,slice_direction,coordinate_m,x_m,y_m,u_parallel_m_s,u_tangential_m_s,u_x_m_s,u_y_m_s
brinkman_usfem_pkpk_k1,x,flux,0.0002163182,0.0002163182,0.00036505,2.2291921107424192e-07,-7.187516097554204e-08,2.2291921107424192e-07,-7.187516097554204e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002187171,0.0002187171,0.00036505,1.8522455859850102e-07,-6.865213156722997e-08,1.8522455859850102e-07,-6.865213156722997e-08
brinkman_usfem_pkpk_k1,x,flux,0.00022111600000000002,0.00022111600000000002,0.00036505,1.4646294303649564e-07,-5.501717765199608e-08,1.4646294303649564e-07,-5.501717765199608e-08
brinkman_usfem_pkpk_k1,x,flux,0.00022351490000000002,0.00022351490000000002,0.00036505,1.0754128301155066e-07,-3.982043506072401e-08,1.0754128301155066e-07,-3.982043506072401e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002259138,0.0002259138,0.00036505,6.86196229866061e-08,-2.46236924694521e-08,6.86196229866061e-08,-2.46236924694521e-08
brinkman_usfem_pkpk_k1,x,flux,0.00022831270000000001,0.00022831270000000001,0.00036505,2.9697962961661092e-08,-9.42694987818001e-09,2.9697962961661092e-08,-9.42694987818001e-09
brinkman_usfem_pkpk_k1,x,flux,0.00023071160000000002,0.00023071160000000002,0.00036505,8.835622472158256e-09,-2.356368221837704e-09,8.835622472158256e-09,-2.356368221837704e-09
brinkman_usfem_pkpk_k1,x,flux,0.0002331105,0.0002331105,0.00036505,4.527658223477421e-09,-2.7347674225143256e-09,4.527658223477421e-09,-2.7347674225143256e-09
brinkman_usfem_pkpk_k1,x,flux,0.0002355094,0.0002355094,0.00036505,2.196939747965367e-10,-3.1131666231909515e-09,2.196939747965367e-10,-3.1131666231909515e-09
brinkman_usfem_pkpk_k1,x,flux,0.00023790830000000002,0.00023790830000000002,0.00036505,-4.088270273884349e-09,-3.4915658238675782e-09,-4.088270273884349e-09,-3.4915658238675782e-09
brinkman_usfem_pkpk_k1,x,flux,0.0002403072,0.0002403072,0.00036505,-6.701632149205592e-09,-7.949269157543029e-10,-6.701632149205592e-09,-7.949269157543029e-10
brinkman_usfem_pkpk_k1,x,flux,0.0002427061,0.0002427061,0.00036505,-1.2656327510685231e-09,1.650814300911197e-08,-1.2656327510685231e-09,1.650814300911197e-08
brinkman_usfem_pkpk_k1,x,flux,0.000245105,0.000245105,0.00036505,4.170366647068546e-09,3.381121293397824e-08,4.170366647068546e-09,3.381121293397824e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002475039,0.0002475039,0.00036505,9.606366045205491e-09,5.1114282858844114e-08,9.606366045205491e-09,5.1114282858844114e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002499028,0.0002499028,0.00036505,1.5042365443342557e-08,6.841735278371038e-08,1.5042365443342557e-08,6.841735278371038e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002523017,0.0002523017,0.00036505,8.941186624182097e-08,1.1585428911213708e-07,8.941186624182097e-08,1.1585428911213708e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002547006,0.0002547006,0.00036505,1.7829368312458172e-07,1.6963519731499728e-07,1.7829368312458172e-07,1.6963519731499728e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002570995,0.0002570995,0.00036505,2.671755000073425e-07,2.234161055178575e-07,2.671755000073425e-07,2.234161055178575e-07
brinkman_usfem_pkpk_k1,x,flux,0.00025949839999999996,0.00025949839999999996,0.00036505,3.560573168901012e-07,2.771970137207165e-07,3.560573168901012e-07,2.771970137207165e-07
